Episode,Score,Avg_Score_100
280,43.58735177865512,-4.792935980011254
281,10.65304659498193,-4.5054574171756245
282,-17.97508090614875,-4.504631583901348
283,17.958620689654744,-4.145288620248046
284,17.72727272727222,-3.7896933123301637
285,-18.07341772151893,-3.789864109263665
286,-17.975675675675408,-3.8848155225089713
287,30.025179856114512,-3.7736334913896816
288,-17.96226415094317,-3.7733788765814262
289,16.17716535433014,-3.4310617684926727
290,10.545945945945673,-3.145935642366551
291,16.937800687284785,-2.7977114816475517
292,9.547239263803656,-2.5230384087374085
293,13.058620689654628,-2.2125901328753472
294,34.199999999999434,-1.9667439790291992
295,-18.09016393442604,-1.9686593640779293
296,-17.915189873417468,-1.9684058574067012
297,14.9009966777404,-1.9431378261131602
298,28.022302158272772,-1.4830696032920425
299,14.282352941175898,-1.15966943154452
300,-18.05605536332191,-1.1607140616108622
301,-17.91355932203406,-1.160746664797983
302,13.084210526315502,-0.8497564113866826
303,-17.95394321766539,-0.8510193930513935
304,40.35018726591679,-0.2672195071471927
305,-18.097421203438177,-0.2673895233773809
306,-17.939926739926495,-0.5632972653529102
307,-17.931182795698813,-0.6587569806338448
308,11.31379310344787,-0.3673619963078314
309,14.123529411764563,-0.04651186120078714
310,28.22061855670011,0.41485221910305364
311,56.07251908396901,0.8594426581696939
312,-16.029746835443373,0.8786715056047334
313,9.078595317725455,1.1492856796408824
314,33.90508474576209,1.2278112352697255
315,-17.972727272727465,1.2272198510441903
316,10.928057553956313,1.515579791663117
317,8.072354948805074,1.6367065669576246
318,12.342446043165,1.9220520800208518
319,-18.098591549295858,1.5384706589099237
320,13.441077441076825,1.8528045102437678
321,-18.053943217666042,1.8519317447337715
322,26.764102564101698,2.2998350654567536
323,27.457679180885968,2.753852535231717
324,30.19534883720881,2.920780919001302
325,40.718181818180355,3.5083257945079436
326,16.889700996677252,3.857798146940468
327,19.52686567164131,4.23324290428581
328,24.36797153024863,4.657086842462195
329,32.656643356642,5.163838461213797
330,13.488888888888443,5.479589419068198
331,-17.979746835442793,5.480332491254307
332,21.141077441077,5.872269581454548
333,20.58695652173875,6.25850278303557
334,10.441269841269449,6.119500847301932
335,15.482389937106557,6.454663729723842
336,29.968227424748015,6.933679337304654
337,35.43381294963991,7.468422872206458
338,56.02256809338493,7.817640423059012
339,25.24410774410711,7.968670285546816
340,27.577777777776305,8.424081156849757
341,16.1888888888882,8.370838771607374
342,15.827272727272266,8.709742413706593
343,8.412751677852398,8.973046031114045
344,53.78832116788255,9.690683568052384
345,13.228522336769402,10.00255618397022
346,-17.98696883852651,9.675353162251627
347,16.674074074073562,10.021483840099279
348,9.245945945945678,10.293933332781325
349,18.102166064981525,10.247282862283605
350,34.49189189189072,10.773180120552693
351,16.98421052631537,10.842052188362665
352,-9.802941176470343,10.924379177982043
353,43.63554006968553,11.54060163070202
354,-12.07592592592587,11.59887481982034
355,29.11089108910806,11.789428175155866
356,-18.053943217665687,11.390452528987444
357,20.236842105262582,11.772294232482816
358,9.769798657717883,11.665492219060003
359,14.960516605165827,11.995091075963392
360,16.587654320987312,12.059008269579772
361,22.71204013377872,12.14580376117027
362,31.931970260222656,12.643772814421846
363,28.68148148148098,13.110975978751215
364,28.101754385964455,13.57291805091275
365,-18.018918918919436,13.260318215335726
366,15.239549839228104,13.308861861876158
367,56.07984790874595,13.701296704599983
368,19.660073260072696,13.815216586136884
369,-18.075159235668853,13.48458744275979
370,22.458620689654516,13.61033154439318
371,16.39999999999942,13.930901719831768
372,13.32550335570419,13.623849061081128
373,18.00891089108839,13.652432831913723
374,14.0716417910444,13.6446701623717
375,56.051851851852334,13.606982798537256
376,9.907692307692193,13.369675106229572
377,37.996078431372005,13.600849937366043
378,25.28753993610181,13.667494567496297
379,23.40137457044623,13.810486652550942
380,19.76376811594161,13.572250815923807
381,33.743749999999366,13.80315784997398
382,20.111705685618496,14.184025715891654
383,17.07894736842063,14.17522898267931
384,29.420338983050073,14.29215964523709
385,41.24709480122206,14.8853647704645
386,10.499999999999563,15.17012152722125
387,28.266666666666183,15.152536395326765
388,40.36666666666616,15.735825703502858
389,20.23780068728477,15.776432056832405
390,23.03381294963968,15.901310726869347
391,16.784386617099784,15.899776586167492
392,22.298293515357884,16.02728712868304
393,11.57437722419885,16.012444694028478
394,18.33851590105945,15.853829853039079
395,15.320408163265158,16.18793557401599
396,16.304626334519423,16.53013373609536
397,20.481081081080504,16.585934580128765
398,13.787539936101714,16.44358695790705
399,16.27142857142805,16.46347771420957
400,23.73333333333271,16.881371601176117
401,17.46363636363582,17.235143558032817
402,11.888524590163467,17.2231866986713
403,32.35267175572474,17.726252848405196
404,56.08947368421212,17.883645712588155
405,9.720689655172164,18.161826821174255
406,17.78181818181786,18.5190442703917
